timestamp,acc_X (m/s^2),acc_X (m/s^2).1,acc_X (m/s^2).2,bar_X (hPa),gyr_X (rad/s),gyr_Y (rad/s),gyr_Z (rad/s),lin_acc_X (m/s^2),prox_Distance (cm),mag_X (µT),mag_Y (µT),mag_Z (µT),loc_Latitude (°),loc_Longitude (°),loc_Height (m),loc_Velocity (m/s),loc_Direction (°),loc_Horizontal Accuracy (m),loc_Vertical Accuracy (°)
2023-06-09 09:27:01.499236959,-8.33451694481413,-8.33451694481413,-8.33451694481413,,-0.00015458237579181407,-0.00011946017068116352,-0.00024542202816886,-0.006126209035517591,,11.889944493227507,16.364646590133507,-16.94412669323701,,,,,,,
2023-06-09 09:27:01.999236959,-8.334468797480241,-8.334468797480241,-8.334468797480241,,-0.00016994320553990504,-9.879689478435826e-05,-0.0002790106978132325,-0.006015818045496926,,11.870484863044027,16.376622301401046,-16.946512576278867,,,,,,,
2023-06-09 09:27:02.499236959,-8.334486055594375,-8.334486055594375,-8.334486055594375,,-0.0001899342316625045,-0.00010288863001312882,-0.0003778687087437882,-0.006091699843322753,,11.852761470924952,16.38281145132869,-16.948014987928612,,,,,,,
2023-06-09 09:27:02.999236959,-8.334530616020889,-8.334530616020889,-8.334530616020889,,-0.00019411726620066812,-6.638003342422794e-05,-0.000339475520077409,-0.006220577084270463,,11.838146205859156,16.37603106423234,-16.9576247270771,,,,,,,
2023-06-09 09:27:03.499236959,-8.33453779035949,-8.33453779035949,-8.33453779035949,,-0.00017808638290497855,-9.283878085099188e-05,-0.0003182939906754706,-0.00622994592521952,,11.839555714919275,16.376354180259224,-16.977236280773297,,,,,,,
2023-06-09 09:27:03.999236959,-8.334575356588044,-8.334575356588044,-8.334575356588044,,-0.00016419438226108685,-8.402584940429498e-05,-0.0003717121995110794,-0.006241015798397728,,11.85641269305132,16.368975617152028,-17.000039442026825,,,,,,,
2023-06-09 09:27:04.499236959,-8.3345366010474,-8.3345366010474,-8.3345366010474,,-0.00017430603638004383,-6.730914171582758e-05,-0.00043209919203595807,-0.006230259371610109,,11.8795724280885,16.366225084520035,-17.016702519863035,,,,,,,
2023-06-09 09:27:04.999236959,-8.334499677607496,-8.334499677607496,-8.334499677607496,,-0.0002120820526170052,-6.680693891892294e-05,-0.0004345652224176326,-0.006264871922687101,,11.890912806034528,16.368878066200047,-17.010441771625548,,,,,,,
2023-06-09 09:27:05.499236959,-8.33439133269893,-8.33439133269893,-8.33439133269893,,-0.00021547233348839258,-6.733001842253804e-05,-0.00044078182226169776,-0.0063133497100179015,,11.906252067780088,16.38152727328438,-16.995369780570222,,,,,,,
2023-06-09 09:27:05.999236959,-8.334249636010258,-8.334249636010258,-8.334249636010258,,-0.0002263715748096192,-5.729721375590694e-05,-0.0004179552522043327,-0.006341078639931892,,11.912244168043657,16.39532566763715,-16.966366856831918,,,,,,,
2023-06-09 09:27:06.499236959,-8.334461284262611,-8.334461284262611,-8.334461284262611,,-0.00021926339614404777,-4.646903118858653e-05,-0.0002559649221279008,-0.006566821904355768,,11.91073511255159,16.413279156813633,-16.953036530316805,,,,,,,
2023-06-09 09:27:06.999236959,-8.334531315575227,-8.334531315575227,-8.334531315575227,,-0.0001901067738210411,-5.446718171012478e-05,-0.0002501861379528591,-0.0065666148342994205,,11.905980331614684,16.41783137465148,-16.95832935303337,,,,,,,
